ano,time,competidor,reserva,classificado,posicao,medalha,universidade,estado,regiao
2010,eita!,diogo holanda,0,0,3,gold,ITA,SP,Sudeste
2010,eita!,walter filho,0,0,3,gold,ITA,SP,Sudeste
2010,eita!,,0,0,3,gold,ITA,SP,Sudeste
2010,sudo,felipe machado,0,1,4,silver,UFMG,MG,Centro-Oeste
2010,sudo,thiago goulart,0,1,4,silver,UFMG,MG,Centro-Oeste
2010,sudo,leonardo martinez,0,1,4,silver,UFMG,MG,Centro-Oeste
2010,sudo,,0,1,4,silver,UFMG,MG,Centro-Oeste
2010,rga,ricardo hahn pereira,0,1,5,silver,POLI-USP,SP,Sudeste
2010,rga,andré hahn pereira,0,1,5,silver,POLI-USP,SP,Sudeste
2010,rga,gustavo paccianotto gouveia,0,1,5,silver,POLI-USP,SP,Sudeste
2010,rga,,0,1,5,silver,POLI-USP,SP,Sudeste
2010,isso é tudo pessoal,natan costa lima,0,1,6,silver,IME-USP,SP,Sudeste
2010,isso é tudo pessoal,atol fortim de oliveira,0,1,6,silver,IME-USP,SP,Sudeste
2010,isso é tudo pessoal,tiago madeira,0,1,6,silver,IME-USP,SP,Sudeste
2010,isso é tudo pessoal,,0,1,6,silver,IME-USP,SP,Sudeste
2010,grito da trypanossoma,vinicius ruoso,0,1,7,bronze,UFPR,PR,Sul
2010,grito da trypanossoma,ricardo oliveira,0,1,7,bronze,UFPR,PR,Sul
2010,grito da trypanossoma,eduardo riba,0,1,7,bronze,UFPR,PR,Sul
2010,grito da trypanossoma,,0,1,7,bronze,UFPR,PR,Sul
2010,alfa,igor de assis,0,0,8,bronze,UNICAMP,SP,Sudeste
2010,alfa,paulo roberto de almeida costa,0,0,8,bronze,UNICAMP,SP,Sudeste
2010,alfa,douglas oliveira santos,0,0,8,bronze,UNICAMP,SP,Sudeste
2010,alfa,,0,0,8,bronze,UNICAMP,SP,Sudeste
2010,auhauhuahuhauah,leonardo oliveira,0,0,9,bronze,UFRJ,RJ,Sudeste
2010,auhauhuahuhauah,douglas cardoso,0,0,9,bronze,UFRJ,RJ,Sudeste
