universidade,sigla,estado
FACULDADE CENTRO OESTE,FACEOPAR,PR
FACULDADE CENTRO PAULISTA,CESI,SP
FACULDADE CESMAC DO SERTÃO,CESMAC Sertão,AL
FACULDADE CHRISTUS,UNICHRISTUS,CE
FACULDADE CIDADE DE COROMANDEL,FCC,MG
FACULDADE CIDADE DE JOÃO PINHEIRO,FCJP,MG
FACULDADE CIDADE DE PATOS DE MINAS,FPM,MG
FACULDADE CIDADE DO SALVADOR,FCS,BA
FACULDADE CIDADE LUZ,FACILUZ,SP
FACULDADE CIDADE VERDE,FCV,PR
FACULDADE CIÊNCIAS DA VIDA,FCV,MG
FACULDADE CONCÓRDIA,FACC,SC
FACULDADE CORPORATIVA CESPI,FACESPI,SP
FACULDADE COTEMIG,COTEMIG,MG
FACULDADE CRISTO REI,FACCREI,PR
FACULDADE CRUZ AZUL,FACRAZ,SP
FACULDADE CUIABÁ,FAUC,MT
FACULDADE CÁSPER LÍBERO,FCL,SP
FACULDADE CÂMARA CASCUDO,FCC,RN
FACULDADE CÂNDIDO RONDON - FCR,FCR,MT
FACULDADE DA ALDEIA DE CARAPICUÍBA,FALC,SP
