0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Country User/Site,Name,A,B,C,D,E,F,G,H,I,J,K,L,M,Total
23,teambrbr32/BRA,[URI - Erechim] URI Luminatti,,,2/32,,1/42,4/134,,1/4,2/207,4/-,,,,5 (519)
47,team40/BOL,[UMSA] PRAK,,1/-,1/31,,1/120,,,1/14,2/231,,2/96,,,5 (532)
7,team40/BOL,[UMSA] PRAK,,1/-,1/31,,1/120,,,1/14,2/231,,2/96,,,5 (532)
1,team40/BOL,[UMSA] PRAK,,1/-,1/31,,1/120,,,1/14,2/231,,2/96,,,5 (532)
48,ucv03/VEN,[UCV] Super Pollos,,,3/37,,1/48,2/87,1/-,1/24,4/221,1/-,,,,5 (537)
3,ucv03/VEN,[UCV] Super Pollos,,,3/37,,1/48,2/87,1/-,1/24,4/221,1/-,,,,5 (537)
1,ucv03/VEN,[UCV] Super Pollos,,,3/37,,1/48,2/87,1/-,1/24,4/221,1/-,,,,5 (537)
49,332185/MEX,[ITSUR] define TriLCI 404 - ITSUR,,2/-,2/50,,1/169,2/98,,1/17,5/-,3/141,,,,5 (555)
8,332185/MEX,[ITSUR] define TriLCI 404 - ITSUR,,2/-,2/50,,1/169,2/98,,1/17,5/-,3/141,,,,5 (555)
8,332185/MEX,[ITSUR] define TriLCI 404 - ITSUR,,2/-,2/50,,1/169,2/98,,1/17,5/-,3/141,,,,5 (555)
50,332189/MEX,[ITAM] Einsteam - ITAM,,2/245,2/41,,1/-,2/152,,1/3,,2/69,,,,5 (590)
9,332189/MEX,[ITAM] Einsteam - ITAM,,2/245,2/41,,1/-,2/152,,1/3,,2/69,,,,5 (590)
9,332189/MEX,[ITAM] Einsteam - ITAM,,2/245,2/41,,1/-,2/152,,1/3,,2/69,,,,5 (590)
51,team49/BOL,[UMSA] Spooky Coders,,,1/38,,1/87,6/277,,1/11,1/125,,,,,5 (638)
8,team49/BOL,[UMSA] Spooky Coders,,,1/38,,1/87,6/277,,1/11,1/125,,,,,5 (638)
2,team49/BOL,[UMSA] Spooky Coders,,,1/38,,1/87,6/277,,1/11,1/125,,,,,5 (638)
52,team115/PER,[UNI-FIIS] Gestiones,,1/122,1/45,,4/203,7/-,,1/13,,1/256,,,1/-,5 (699)
9,team115/PER,[UNI-FIIS] Gestiones,,1/122,1/45,,4/203,7/-,,1/13,,1/256,,,1/-,5 (699)
3,team115/PER,[UNI-FIIS] Gestiones,,1/122,1/45,,4/203,7/-,,1/13,,1/256,,,1/-,5 (699)
53,team37/BOL,[UMSA] NAHASAPEEMAPETILAN-TASTIC!,,,1/33,,1/165,2/276,,1/5,1/212,,1/-,,,5 (711)
10,team37/BOL,[UMSA] NAHASAPEEMAPETILAN-TASTIC!,,,1/33,,1/165,2/276,,1/5,1/212,,1/-,,,5 (711)
3,team37/BOL,[UMSA] NAHASAPEEMAPETILAN-TASTIC!,,,1/33,,1/165,2/276,,1/5,1/212,,1/-,,,5 (711)
54,351256/MEX,[ESCOM-IPN] Cooperativa Pascal - ESCOM IPN,,,1/111,,2/164,2/264,,1/28,1/152,,,,,5 (759)
10,351256/MEX,[ESCOM-IPN] Cooperativa Pascal - ESCOM IPN,,,1/111,,2/164,2/264,,1/28,1/152,,,,,5 (759)
10,351256/MEX,[ESCOM-IPN] Cooperativa Pascal - ESCOM IPN,,,1/111,,2/164,2/264,,1/28,1/152,,,,,5 (759)
55,team38/ARG,[UNR] Argi.pop(),,,4/176,,8/-,1/137,,1/10,1/119,2/287,,,,5 (809)
11,team38/ARG,[UNR] Argi.pop(),,,4/176,,8/-,1/137,,1/10,1/119,2/287,,,,5 (809)
4,team38/ARG,[UNR] Argi.pop(),,,4/176,,8/-,1/137,,1/10,1/119,2/287,,,,5 (809)
56,team202/PER,[UCSP] Asterisco es para punteros,,1/235,2/122,,1/127,,,1/12,,1/296,,,,5 (812)
12,team202/PER,[UCSP] Asterisco es para punteros,,1/235,2/122,,1/127,,,1/12,,1/296,,,,5 (812)
4,team202/PER,[UCSP] Asterisco es para punteros,,1/235,2/122,,1/127,,,1/12,,1/296,,,,5 (812)
57,teambrbr35/BRA,[UFRGS] #include __FILE__,,2/168,5/176,,1/-,2/248,,1/13,1/-,1/182,,,,5 (907)
24,teambrbr35/BRA,[UFRGS] #include __FILE__,,2/168,5/176,,1/-,2/248,,1/13,1/-,1/182,,,,5 (907)
58,team104/PER,[UPC] bit.do/while,,,8/168,,,2/242,,1/7,4/286,1/65,,,,5 (988)
13,team104/PER,[UPC] bit.do/while,,,8/168,,,2/242,,1/7,4/286,1/65,,,,5 (988)
5,team104/PER,[UPC] bit.do/while,,,8/168,,,2/242,,1/7,4/286,1/65,,,,5 (988)
59,team26/ARG,[UBA-FMED] LuKaS,,1/247,2/51,,8/273,,,1/5,,3/233,,,,5 (1009)
14,team26/ARG,[UBA-FMED] LuKaS,,1/247,2/51,,8/273,,,1/5,,3/233,,,,5 (1009)
5,team26/ARG,[UBA-FMED] LuKaS,,1/247,2/51,,8/273,,,1/5,,3/233,,,,5 (1009)
60,BOG12/COL,[PUJB] Vaaamos muchaaachos!!,,,2/41,,1/95,4/-,,1/12,1/146,,,,,4 (314)
4,BOG12/COL,[PUJB] Vaaamos muchaaachos!!,,,2/41,,1/95,4/-,,1/12,1/146,,,,,4 (314)
3,BOG12/COL,[PUJB] Vaaamos muchaaachos!!,,,2/41,,1/95,4/-,,1/12,1/146,,,,,4 (314)
61,team5/ARG,"[UBA-FCEN] El Bueno, el Ralo y el Feo",,1/91,1/22,,,,1/224,1/7,,,,,,4 (344)
15,team5/ARG,"[UBA-FCEN] El Bueno, el Ralo y el Feo",,1/91,1/22,,,,1/224,1/7,,,,,,4 (344)
6,team5/ARG,"[UBA-FCEN] El Bueno, el Ralo y el Feo",,1/91,1/22,,,,1/224,1/7,,,,,,4 (344)
62,team10/CUB,[UH] The Black Pearl,,,1/38,,1/60,4/219,,1/10,8/-,,,,,4 (387)
9,team10/CUB,[UH] The Black Pearl,,,1/38,,1/60,4/219,,1/10,8/-,,,,,4 (387)
8,team10/CUB,[UH] The Black Pearl,,,1/38,,1/60,4/219,,1/10,8/-,,,,,4 (387)
63,team102/PER,[PUCP-FCI] XieXieLucas,,2/-,1/15,,5/-,,,1/6,1/192,2/239,,,1/-,4 (472)
16,team102/PER,[PUCP-FCI] XieXieLucas,,2/-,1/15,,5/-,,,1/6,1/192,2/239,,,1/-,4 (472)
6,team102/PER,[PUCP-FCI] XieXieLucas,,2/-,1/15,,5/-,,,1/6,1/192,2/239,,,1/-,4 (472)
64,team13/CUB,[UCI] FreesTyle,,,1/91,,2/141,,,1/13,4/175,5/-,,,,4 (500)
10,team13/CUB,[UCI] FreesTyle,,,1/91,,2/141,,,1/13,4/175,5/-,,,,4 (500)
9,team13/CUB,[UCI] FreesTyle,,,1/91,,2/141,,,1/13,4/175,5/-,,,,4 (500)
65,332187/MEX,UPdated - UP Bonaterra,,1/-,1/48,,4/133,2/-,,1/8,,2/248,,,1/-,4 (517)
11,332187/MEX,UPdated - UP Bonaterra,,1/-,1/48,,4/133,2/-,,1/8,,2/248,,,1/-,4 (517)
11,332187/MEX,UPdated - UP Bonaterra,,1/-,1/48,,4/133,2/-,,1/8,,2/248,,,1/-,4 (517)
66,team24/CUB,[UCLV] SmartWare,,,1/34,,,2/-,,1/14,3/298,1/150,,,,4 (536)
11,team24/CUB,[UCLV] SmartWare,,,1/34,,,2/-,,1/14,3/298,1/150,,,,4 (536)
10,team24/CUB,[UCLV] SmartWare,,,1/34,,,2/-,,1/14,3/298,1/150,,,,4 (536)
67,teambrbr40/BRA,[UNIFESO] 100^o,,,7/152,,1/27,2/-,,1/8,1/231,1/-,,,,4 (538)
25,teambrbr40/BRA,[UNIFESO] 100^o,,,7/152,,1/27,2/-,,1/8,1/231,1/-,,,,4 (538)
68,team2/ARG,[UNS] Nico Is Correct Output,,,1/111,,2/144,2/233,,1/12,1/-,,,,,4 (540)
17,team2/ARG,[UNS] Nico Is Correct Output,,,1/111,,2/144,2/233,,1/12,1/-,,,,,4 (540)
7,team2/ARG,[UNS] Nico Is Correct Output,,,1/111,,2/144,2/233,,1/12,1/-,,,,,4 (540)
69,BOG19/COL,[UAC] Yo C++ Que Ustedes,,1/-,3/47,,1/298,2/210,,1/20,,,,,1/-,4 (635)
5,BOG19/COL,[UAC] Yo C++ Que Ustedes,,1/-,3/47,,1/298,2/210,,1/20,,,,,1/-,4 (635)
4,BOG19/COL,[UAC] Yo C++ Que Ustedes,,1/-,3/47,,1/298,2/210,,1/20,,,,,1/-,4 (635)
70,BOG22/COL,[UN] fUNsociety,,,4/275,,1/138,4/-,,1/6,3/205,,,,,4 (724)
6,BOG22/COL,[UN] fUNsociety,,,4/275,,1/138,4/-,,1/6,3/205,,,,,4 (724)
5,BOG22/COL,[UN] fUNsociety,,,4/275,,1/138,4/-,,1/6,3/205,,,,,4 (724)
71,teambrbr59/BRA,[PUC-Rio] NP-Drada,,,1/24,,1/115,3/-,,1/6,1/-,,,,,3 (145)
